Dan;Mjesto;TrenutaènaTemperatura;Oborine;Vlaga;Vjetar;Trenutnovrijeme;Najveæatemperatura;Najmanjatemperatura
srijeda 16:00;Varaždin;8;0;36;16;Poluoblaèno;8;-2
èetvrtak 22:00;Varaždin;6;1;59;6;Poluoblaèno;11;-1
petak 23:00;Varaždin;6;14;72;8;Oblaèno;13;3
subota 13:00;Varaždin;8;80;75;5;Poluoblaèno;10;3
nedjelja 22:00;Varaždin;4;3;89;6;Poluoblaèno;10;0
ponedjeljak 17:00;Varaždin;14;0;43;8;Uglavnom sunèano;14;2
utorak 09:00;Varaždin;6;30;78;5;Oblaèno;17;2
srijeda 09:00;Varaždin;6;5;62;6;Poluoblaèno;17;8
cetvrtak 23:00;Varaždin;7;95;96;8;Kiša;9;5
petak 19:00;Varaždin;8;75;88;10;Oblaèno;8;6
subota 18:00;Varaždin;11;8;76;16;Kiša;13;5
nedjelja 17:00;Varaždin;10;83;76;13;Slabi pljuskovi uz kišu;11;7
ponedjeljak 23:00;Varaždin;12;84;72;16;Slabi pljuskovi uz kišu;15;9
utorak 10:00;Varaždin;11;93;83;14;Kiša;13;8
srijeda 12:00;Varaždin;14;64;67;14;Oblaèno;14;4
èetvrtak 09:00;Varaždin;11;1;70;6;Poluoblaèno;17;5
petak 21:00;Varaždin;13;76;72;5;Uglavnom oblaèno;18;5
subota 21:00;Varaždin;13;1;65;5;Vedro;20;7
nedjelja 21:00;Varaždin;17;24;55;11;Uglavnom oblaèno;22;12
ponedjeljak 11:00;Varaždin;14;95;71;11;Slabi pljuskovi uz kišu;16;8
utorak 09:00;Varaždin;13;2;66;6;Sunèano;17;6
srijeda 12:00;Varaždin;13;2;51;8;Poluoblaèno;14;6
èetvrtak 09:00;Varaždin;9;1;72;5;Uglavnom oblaèno;16;6
petak 22:00;Varaždin;13;2;81;5;Uglavnom oblaèno;18;8
subota 15:00;Varaždin;21;22;43;8;Poluoblaèno;22;9
nedjelja 14:00;Varaždin;17;0;52;18;Uglavnom oblaèno;18;6
ponedjeljak 14:00;Varaždin;19;0;42;0;Poluoblaèno;20;10
utorak 14:00;Varaždin;16;89;74;8;Kiša;17;11
srijeda 14:00;Varaždin;15;78;82;9;Poluoblaèno;16;8
èetvrtak 10:00;Varaždin;16;1;56;13;Sunèano;19;6
